Mouser OR Mfr. # (Input),Customer #,Mouser Part Number,Mfr Part Number,Manufacturer Name,Description,Min,Mult,Availability,Package Type,-----,Unit Price 1,Extended Price 1,Qty. 2,Qty. 1,Extended Price 2,Qty. 3,Price 3,Extended Price 3,Lead Time in Days,Lead Time in Weeks,Lifecycle,Pb Free,RoHS,Package Quantity,NCNR,Datasheet URL
757-CMF01TE12LQM,,757-CMF01TE12LQM,"CMF01(TE12L,Q,M)",Toshiba,"Diodes - General Purpose, Power, Switching Diodes - General Purpose, Power, Switching 600V 2A M-FLAT",1,1,"1,947",REEL,5,$0.68 ,$3.40 ,,3,,,,,17,3,,Yes,Yes,"3,000",No,https://www.mouser.com/datasheet/2/408/CMF01_datasheet_en_20180404-1150562.pdf
757-CMF05TE12LQM,,757-CMF05TE12LQM,"CMF05(TE12L,Q,M)",Toshiba,Rectifiers Rectifiers Super Fast Diode 1000V 0.5A 100ns,1,1,"21,826",REEL,5,$0.54 ,$2.69 ,,3,,,,,112,16,,Yes,Yes,"3,000",No,https://www.mouser.com/datasheet/2/408/Toshiba_12302021_CMF05-2888873.pdf
710-150080GS75000,,710-150080GS75000,150080GS75000,Wurth Elektronik,Standard LEDs - SMD Standard LEDs - SMD WL-SMCW SMDMono TpVw Waterclr 0805 Green,1,1,"58,120",REEL,5,$0.19 ,$0.97 ,,3,,,,,77,11,,Yes,Yes,"4,000",No,https://www.mouser.com/datasheet/2/445/150080GS75000-3084983.pdf
771-TL431AQDBZR215,,771-TL431AQDBZR215,"TL431AQDBZR,215",Nexperia,Voltage References Voltage References TL431AQDBZR/SOT23/TO-236AB,1,1,"449,655",REEL,5,$0.33 ,$1.63 ,,3,,,,,160,23,,Yes,Yes,"3,000",No,https://www.mouser.com/datasheet/2/916/TL431_FAM-1319628.pdf
504-C310T-SC25RTR1,,504-C310T-SC25RTR1,C310T-SC-2-5-R-TR1,Eaton,Cartridge Fuses Cartridge Fuses 2.5A 250V high I2t ceramic,1,1,"4,756",REEL,5,$0.25 ,$1.27 ,,3,,,,,,,,Yes,Yes,"1,500",No,https://www.mouser.com/datasheet/2/87/eaton-c310t-sc-time-delay-axial-lead-ceramic-tube--1608410.pdf
710-691102710002,,710-691102710002,691103000000,Wurth Elektronik,Fixed Terminal Blocks Fixed Terminal Blocks WR-TBL 300VAC 15A 2P Straight,1,1,836,BULK,5,$0.74 ,$3.71 ,,3,,,,,77,11,,Yes,Yes,900,No,https://www.mouser.com/datasheet/2/445/691102710002-3089502.pdf
710-691102710002,,710-691102710002,691103000000,Wurth Elektronik,Fixed Terminal Blocks Fixed Terminal Blocks WR-TBL 300VAC 15A 2P Straight,1,1,836,BULK,5,$0.74 ,$3.71 ,,3,,,,,77,11,,Yes,Yes,900,No,https://www.mouser.com/datasheet/2/445/691102710002-3089502.pdf
710-744823601,,710-744823601,744823601,Wurth Elektronik,Common Mode Chokes / Filters Common Mode Chokes / Filters WE-CMB Choke Type M 1mH 6A 13mOhm,1,1,"4,663",TRAY,5,$5.36 ,$26.80 ,,3,,,,,166,24,,Yes,Yes,90,No,https://www.mouser.com/datasheet/2/445/744823601-3095313.pdf
710-744383230068,,710-744383230068,744383000000,Wurth Elektronik,Power Inductors - Leaded Power Inductors - Leaded WE-MAPI 680nH 3.1A DCR=60mOhms AECQ200,1,1,"2,016",REEL,5,$1.20 ,$6.00 ,,3,,,,,133,19,,Yes,Yes,"3,000",No,https://www.mouser.com/datasheet/2/445/744383230068-3093880.pdf
623-2512061517Y3,,623-2512061517Y3,2512061517Y3,Fair-Rite,Ferrite Beads Ferrite Beads MULTILAYER CHIP BEAD Z=150 OHM@100MHz 25,1,1,"52,078",REEL,5,$0.10 ,$0.51 ,,3,,,,,13,2,,Yes,Yes,"3,000",No,http://www.fair-rite.com/cgibin/catalog.pgm?THEONEPART=2512061517Y3&SEARCHAGAIN=Y#select:onepart
