x,y,layer1,layer2,voltage1,voltage2,current
298.059,2064.15,TOP_LAYER,BOTTOM_LAYER,0.106119,0.106018,0.0299796
347.272,194.067,TOP_LAYER,BOTTOM_LAYER,0.105138,0.105209,-0.0213486
347.272,390.917,TOP_LAYER,BOTTOM_LAYER,0.104564,0.104671,-0.0319762
347.272,1867.29,TOP_LAYER,BOTTOM_LAYER,0.106842,0.106859,-0.00509862
347.272,1965.72,TOP_LAYER,BOTTOM_LAYER,0.106615,0.106661,-0.0138623
347.272,2064.15,TOP_LAYER,BOTTOM_LAYER,0.106375,0.106291,0.0251577
396.485,95.6413,TOP_LAYER,BOTTOM_LAYER,0.105781,0.10583,-0.0144819
396.485,292.492,TOP_LAYER,BOTTOM_LAYER,0.105512,0.105598,-0.0257436
396.485,1867.29,TOP_LAYER,BOTTOM_LAYER,0.107019,0.107184,-0.0493416
396.485,1965.72,TOP_LAYER,BOTTOM_LAYER,0.106831,0.107053,-0.0664653
396.485,2064.15,TOP_LAYER,BOTTOM_LAYER,0.106647,0.106842,-0.0582623
445.697,194.067,TOP_LAYER,BOTTOM_LAYER,0.10591,0.105979,-0.0206605
445.697,390.917,TOP_LAYER,BOTTOM_LAYER,0.105674,0.105793,-0.0354582
445.697,1867.29,TOP_LAYER,BOTTOM_LAYER,0.107384,0.107381,0.000979699
445.697,1965.72,TOP_LAYER,BOTTOM_LAYER,0.107251,0.107278,-0.00804936
445.697,2064.15,TOP_LAYER,BOTTOM_LAYER,0.107136,0.107125,0.00321062
478.658,756.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8829,-0.0261449
478.658,771.665,TOP_LAYER,BOTTOM_LAYER,33.8828,33.8829,-0.0261449
478.658,786.665,TOP_LAYER,BOTTOM_LAYER,33.883,33.883,-0.00546349
478.658,801.665,TOP_LAYER,BOTTOM_LAYER,33.883,33.883,-0.00546349
478.658,816.665,TOP_LAYER,BOTTOM_LAYER,33.883,33.883,-0.00546349
478.658,831.665,TOP_LAYER,BOTTOM_LAYER,33.8831,33.8831,0.00926337
478.658,846.665,TOP_LAYER,BOTTOM_LAYER,33.8831,33.8831,0.00926337
